HWY_NO,HWY_SFX_NO,HWY_LONG_NM,HWY_MED_NM,HWY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID,ALT_HWY_NO
250,,Cape Blanco Highway,CAPE BLANCO,,2003-03-27T00:00:00,ISCO866,250
251,,Port Orford Highway,PORT ORFORD,,2003-03-27T00:00:00,ISCO866,251
255,,Carpenterville Highway,CARPENTERVILLE,,2003-03-27T00:00:00,ISCO866,255
260,,Rogue River Loop Highway,ROGUE RIVER LOOP,,2003-03-27T00:00:00,ISCO866,260
270,,Lake Of The Woods Highway,LAKE OF THE WOODS,,2011-07-20T11:00:42.560,Hwye85p,270
271,,Sams Valley Highway,SAMS VALLEY,,2003-03-27T00:00:00,ISCO866,271
272,,Jacksonville Highway,JACKSONVILLE,,2003-03-27T00:00:00,ISCO866,272
273,,Siskiyou Highway,SISKIYOU,,2003-03-27T00:00:00,ISCO866,273
281,,Hood River Highway,HOOD RIVER,,2003-03-27T00:00:00,ISCO866,281
282,,Odell Highway,ODELL,,2003-03-27T00:00:00,ISCO866,282
283,,Cascade Locks Highway,CASCADE LOCKS,2000-12-31T00:00:00,2003-03-27T00:00:00,ISCO866,283
290,,Sherars Bridge Highway,SHERARS BRIDGE,,2003-03-27T00:00:00,ISCO866,290
291,,Shaniko-Fossil Highway,SHANIKO-FOSSIL,,2003-03-27T00:00:00,ISCO866,291
292,,Mosier-The Dalles Highway,MOSIER-THE DALLES,,2003-03-27T00:00:00,ISCO866,292
293,,Antelope Highway,ANTELOPE,,2016-07-11T16:36:37.223,Hwye85p,293
300,,Wasco-Heppner Highway,WASCO-HEPPNER,,2003-03-27T00:00:00,ISCO866,300
301,,Celilo-Wasco Highway,CELILO-WASCO,,2003-03-27T00:00:00,ISCO866,301
320,,Lexington-Echo Highway,LEXINGTON-ECHO,,2003-03-27T00:00:00,ISCO866,320
321,,Heppner-Spray Highway,HEPPNER-SPRAY,,2016-07-11T16:38:05.723,Hwye85p,321
330,,Weston-Elgin Highway,WESTON-ELGIN,,2003-03-27T00:00:00,ISCO866,330
331,,Umatilla Mission Highway,UMATILLA MISSION,,2003-03-27T00:00:00,ISCO866,331
