CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,AGY_ST_NO,ST_FULL_NM,ISECT_AGY_ST_NO,ISECT_ST_FULL_NM,ISECT_SEQ_NO,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,REG_ID,DIST_ID,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,RTE_NM,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNWN_QTY,LAT_DD,LONGTD_DD,TOT_PED_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1942778,47,2021-02-10T00:00:00,2,10,2021,4,16,4P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,6.0,CN,0.0,R,2.0,0092AT100S00,46,5,49.5,-122,58,7.78,,,9002,NB EX LEWIS&CLRK C2,9003,LEWIS&CLARK BR C3,1.0,,4,48.71,25.0,1,INTER,0,3.0,3-LEG,0,0,0,,0.0,,,6,D,S-1TURN,3,REAR,5,PDO,1,CLR,1,DRY,1,DAY,7,YIELD,1,4,UNK,92.0,PHANTOM,,,,,29,F AVOID,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,,,2,1,293_26215,,0,,2022-10-26T08:03:40.567,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,2,0,1,46.09708333333333,-122.96882777777766,0,0,0,0,0,0,0,0,0,N
1942872,68,2021-03-10T00:00:00,3,10,2021,4,13,1P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,6.0,CN,0.0,R,2.0,0092AT100S00,46,5,49.49,-122,58,7.76,,,9002,NB EX LEWIS&CLRK C2,9003,LEWIS&CLARK BR C3,1.0,,4,48.71,,1,INTER,0,3.0,3-LEG,0,0,0,,0.0,,,6,D,S-1TURN,3,REAR,5,PDO,1,CLR,1,DRY,1,DAY,7,YIELD,1,0,NONE,,,,,,,29,F AVOID,,,,,,,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,,,2,1,293_26215,,0,,2022-10-26T08:04:07.897,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1,46.09708055555533,-122.96882222222166,0,0,0,0,0,0,0,0,0,N
1942958,82,2021-03-24T00:00:00,3,24,2021,4,12,12P,5,Columbia,172,Rainier,61,RAINIER UA,17,U MJ-COL,0,,,,,,,,,,,46,5,23.12,-122,56,45.53,,,804,FERN HILL RD,401,C ST W,1.0,225.0,6,,30.0,5,CURVE,1,,,0,0,0,2.0,,0.0,NONE,8,8,FIX OBJ,9,FIX,5,PDO,3,RAIN,2,WET,1,DAY,0,NONE,1,3,CITY,53.0,POLE UTL,3.0,BUG INTF,,,27,INATTENT,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_802552,,0,,2022-10-26T08:04:29.490,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,46.08975555555533,-122.94598055555532,0,0,0,0,0,0,0,0,0,Y
1943150,115,2021-04-29T00:00:00,4,29,2021,5,22,10P,5,Columbia,172,Rainier,61,RAINIER UA,19,U LOCAL,0,,,,,,,,,,,46,5,7.61,-122,56,49.02,,,602,DEBAST RD,104,ALDER LN,1.0,100.0,5,,,3,STRGHT,1,,,0,0,0,2.0,,0.0,NONE,7,8,FIX OBJ,9,FIX,5,PDO,1,CLR,1,DRY,3,DARK,0,NONE,1,0,NONE,61.0,MAILBOX,,,,,27,INATTENT,,,,,,,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_803569,,0,,2022-10-26T08:05:20.680,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,46.085447222221326,-122.94694999999932,0,0,0,0,0,0,0,0,0,Y
1943184,131,2021-05-11T00:00:00,5,11,2021,3,5,5A,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,6.0,CN,0.0,R,3.0,0092AU100S00,46,5,49.5,-122,58,7.78,,,9002,NB EX LEWIS&CLRK C2,9003,LEWIS&CLARK BR C3,1.0,,1,48.74,,1,INTER,0,3.0,3-LEG,0,0,0,,0.0,,,5,B,ANGL-OTH,6,TURN,5,PDO,1,CLR,1,DRY,4,DAWN,7,YIELD,1,3,CITY,,,,,,,2,NO-YIELD,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,,,2,1,293_26217,,0,,2022-10-29T08:45:38.020,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,46.09708333333333,-122.96882777777766,0,0,0,0,0,0,0,0,0,N
1943217,142,2021-05-16T00:00:00,5,16,2021,1,1,1A,5,Columbia,172,Rainier,61,RAINIER UA,19,U LOCAL,0,,,,,,,,,,,46,5,23.94,-122,56,12.64,,,8702,W 2ND ST,101,A ST,1.0,30.0,6,,,3,STRGHT,1,,,0,0,0,2.0,,0.0,NONE,6,2,PRKD MV,3,REAR,5,PDO,0,UNK,1,DRY,3,DARK,99,UNKNOWN,1,3,CITY,,,,,,,10,OTHR-IMP,,,,,,,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_803624,,0,,2022-10-29T08:45:47.113,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,46.08998333333333,-122.93684444444432,0,0,0,0,0,0,0,0,0,Y
1943376,165,2021-06-05T00:00:00,6,5,2021,7,12,12P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,20.87,-122,56,9.34,,,201,B ST,8001,1ST ST,1.0,,8,46.97,30.0,1,INTER,1,1.0,CROSS,0,0,0,,0.0,,,5,8,FIX OBJ,9,FIX,5,PDO,1,CLR,1,DRY,1,DAY,0,NONE,1,4,UNK,93.0,CELL PHONE,,,,,32,CARELESS,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_18908,,0,US 30,2022-10-29T08:46:30.760,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,46.08913055555533,-122.93592777777732,0,0,0,0,0,0,0,0,0,N
1943400,172,2021-06-14T00:00:00,6,14,2021,2,18,6P,5,Columbia,172,Rainier,61,RAINIER UA,17,U MJ-COL,0,,,,,,,,,,,46,5,36.26,-122,57,34.66,,,2603,WASHINGTON WAY,1501,MILL ST,1.0,300.0,7,,25.0,3,STRGHT,1,,,0,0,0,2.0,,0.0,NONE,8,2,PRKD MV,5,SS-O,5,PDO,2,CLD,2,WET,1,DAY,0,NONE,1,3,CITY,,,,,,,27,INATTENT,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_804994,,0,,2022-10-29T08:46:37.137,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,46.09340555555533,-122.959627777777,0,0,0,0,0,0,0,0,0,Y
1943437,180,2021-06-20T00:00:00,6,20,2021,1,15,3P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,26.51,-122,56,34.83,,,101,A ST,103,VETERANS WY,1.0,,4,47.33,30.0,3,STRGHT,0,,,0,0,0,2.0,,0.0,NONE,4,G,O-STRGHT,4,SS-M,4,INJ,1,CLR,1,DRY,1,DAY,0,NONE,1,3,CITY,,,,,,,16,FATIGUE,5.0,LEFT-CTR,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_11562,,0,US 30,2022-10-29T08:46:46.853,2,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,4,4,4,0,0,46.09069722222133,-122.94300833333332,0,0,0,0,0,0,0,0,0,Y
1943557,189,2021-06-25T00:00:00,6,25,2021,6,22,10P,5,Columbia,172,Rainier,61,RAINIER UA,17,U MJ-COL,0,,,,,,,,,,,46,5,20.47,-122,57,20.89,,,804,FERN HILL RD,2102,RIVERVIEW DR,1.0,0.0,7,,,1,INTER,1,3.0,3-LEG,0,0,0,,0.0,,,5,8,FIX OBJ,9,FIX,5,PDO,1,CLR,1,DRY,3,DARK,4,STOP SIGN,1,4,UNK,79.0,DITCH,91.0,BUILDING,128.0,CURVE INV,16,FATIGUE,,,,,0.0,0.0,1,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_802550,,0,,2022-10-29T08:47:20.463,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,46.089019444444325,-122.955802777777,0,0,0,0,0,0,0,0,0,N
1943561,193,2021-06-30T00:00:00,6,30,2021,4,18,6P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,20.87,-122,56,9.36,,,201,B ST,8001,1ST ST,1.0,,9,46.97,30.0,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,2,D,S-1TURN,6,TURN,5,PDO,1,CLR,1,DRY,1,DAY,1,TRF SIGNAL,1,3,CITY,,,,,,,6,IMP-OVER,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_18908,,0,US 30,2022-10-29T08:47:21.557,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,46.08913055555533,-122.93593333333332,0,0,0,0,0,0,0,0,0,N
1954357,202,2021-07-07T00:00:00,7,7,2021,4,11,11A,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,11.29,-122,57,4.67,,,403,LOWER COL RIVER HY,0,,,,0,999.99,,3,STRGHT,0,,,0,0,0,4.0,,0.0,NONE,6,F,S-OTHER,6,TURN,5,PDO,1,CLR,1,DRY,1,DAY,99,UNKNOWN,1,5,NO RPT,,,,,,,8,IMP-TURN,,,,,,,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,,,2,1,,,1,,2023-01-21T07:25:19.877,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,46.086469444444326,-122.951297222222,0,0,0,0,0,0,0,0,0,N
